
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
690,0x000E,1,FALSE,34.33247,0.13819,0.18930,4.01300,NAN,NAN,9.80000
700,0x000E,1,FALSE,34.83069,0.14019,0.18930,4.01270,NAN,NAN,9.80000
710,0x000E,1,FALSE,35.37883,0.14239,0.18930,4.01240,NAN,NAN,9.80000
720,0x000E,1,FALSE,35.87717,0.14439,0.18930,4.01210,NAN,NAN,9.80000
730,0x000E,1,FALSE,36.37556,0.14639,0.18930,4.01170,NAN,NAN,9.80000
740,0x000E,1,FALSE,36.87394,0.14839,0.18930,4.01140,NAN,NAN,9.80000
750,0x000E,1,FALSE,37.32244,0.15018,0.18930,4.01110,NAN,NAN,9.90000
760,0x000E,1,FALSE,37.82086,0.15218,0.18930,4.01080,NAN,NAN,9.90000
770,0x000E,1,FALSE,38.31925,0.15418,0.18930,4.01050,NAN,NAN,9.90000
780,0x000E,1,FALSE,38.81758,0.15618,0.18930,4.01030,NAN,NAN,10.00000
790,0x000E,1,FALSE,39.31606,0.15818,0.18930,4.01000,NAN,NAN,10.10000
800,0x000E,1,FALSE,39.86430,0.16038,0.18930,4.00970,NAN,NAN,10.10000
810,0x000E,1,FALSE,40.36258,0.16238,0.18930,4.00940,NAN,NAN,10.20000
820,0x000E,1,FALSE,40.86097,0.16437,0.18930,4.00920,NAN,NAN,10.20000
830,0x000E,1,FALSE,41.35931,0.16637,0.18930,4.00890,NAN,NAN,10.30000
840,0x000E,1,FALSE,41.80791,0.16817,0.18930,4.00870,NAN,NAN,10.30000
850,0x000E,1,FALSE,42.30628,0.17017,0.18930,4.00850,NAN,NAN,10.40000
860,0x000E,1,FALSE,42.80472,0.17217,0.18930,4.00820,NAN,NAN,10.40000
